Dataset,Task,Metric,Activation,Avg_Score,Max_Score,Min_Score,Epochs_As_Best,Overall_Winner,Leader_Changes
simplelinear,Regression,R2,Si,0.8642977828979492,0.9973847270011902,-0.02206587791442871,0,E,40
simplelinear,Regression,R2,Mish,0.9738702045679093,0.9987887144088745,-0.03874480724334717,0,E,40
simplelinear,Regression,R2,U,-4.745579047799111,0.8832109570503235,-2492.69970703125,0,E,40
quadratic,Regression,R2,E,0.8861440097093582,0.9325330257415771,-1.281708002090454,10,XER,13
quadratic,Regression,R2,XER,0.8939443249702453,0.9345405697822571,-1.3126435279846191,436,XER,13
quadratic,Regression,R2,R,0.837630430817604,0.9317747950553894,-1.232337474822998,0,XER,13
quadratic,Regression,R2,LR,0.8263561775684357,0.9315070509910583,-1.2179195880889893,0,XER,13
quadratic,Regression,R2,PR,0.8512277762889862,0.931846022605896,-1.1958069801330566,0,XER,13
quadratic,Regression,R2,RR,0.8473856090307236,0.9303338527679443,-1.277482271194458,0,XER,13
quadratic,Regression,R2,G,0.8360523308515548,0.93346107006073,-1.2589819431304932,0,XER,13
quadratic,Regression,R2,S,0.8677509982585907,0.9321067333221436,-1.2747085094451904,2,XER,13
quadratic,Regression,R2,C,0.8434310117959977,0.9333440065383911,-1.3549163341522217,0,XER,13
quadratic,Regression,R2,ELU,0.8390057764053345,0.9332742094993591,-1.2638466358184814,0,XER,13
quadratic,Regression,R2,SELU,0.8699605202674866,0.9341077208518982,-1.056858777999878,51,XER,13
quadratic,Regression,R2,T,-0.10678353595733643,-4.76837158203125e-06,-1.2118797302246094,0,XER,13
quadratic,Regression,R2,HT,-0.13230941367149354,0.0,-1.2973551750183105,0,XER,13
quadratic,Regression,R2,ST,0.012719384789466858,0.7288497090339661,-1.2348179817199707,0,XER,13
